EXCHANGE%3DNYSE,,,,,,
MARKET_OPEN_MINUTE=570,,,,,,
MARKET_CLOSE_MINUTE=960,,,,,,
INTERVAL=60,,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,
DATA=,,,,,,
TIMEZONE_OFFSET=-300,,,,,,
377,51.9,51.95,51.9,51.95,520,12/11/17 15:47
379,51.9,51.9,51.9,51.9,100,12/11/17 15:49
380,51.9228,51.95,51.9,51.9,1226,12/11/17 15:50
381,51.925,51.95,51.925,51.95,800,12/11/17 15:51
382,51.9,51.925,51.9,51.9,300,12/11/17 15:52
383,51.9,51.925,51.9,51.9,561,12/11/17 15:53
384,51.75,51.9,51.75,51.9,5560,12/11/17 15:54
385,51.75,51.8,51.75,51.8,4337,12/11/17 15:55
386,51.65,51.7,51.65,51.7,2543,12/11/17 15:56
387,51.75,51.75,51.65,51.675,3203,12/11/17 15:57
388,51.725,51.75,51.7,51.725,1270,12/11/17 15:58
389,51.75,51.75,51.7,51.75,2409,12/11/17 15:59
390,51.7,51.8,51.7,51.75,6712,12/11/17 16:00
a1513089000,51.8,51.8,51.8,51.8,1851,12/12/17 9:30
4,51.7,51.7,51.7,51.7,200,12/12/17 9:34
5,51.75,51.75,51.65,51.65,700,12/12/17 9:35
7,52.05,52.05,51.95,51.95,543,12/12/17 9:37
9,52.1,52.1,52.1,52.1,100,12/12/17 9:39
11,51.75,52.15,51.75,52.15,2300,12/12/17 9:41
12,51.75,51.75,51.75,51.75,100,12/12/17 9:42
15,51.7,51.7,51.65,51.7,800,12/12/17 9:45
16,51.75,51.75,51.75,51.75,100,12/12/17 9:46
17,51.65,51.8,51.65,51.8,2000,12/12/17 9:47
18,51.75,51.75,51.7,51.75,372,12/12/17 9:48
19,51.95,51.95,51.9,51.95,1300,12/12/17 9:49
20,52,52,52,52,200,12/12/17 9:50
22,52.15,52.15,52,52,1120,12/12/17 9:52
23,52.275,52.35,52.275,52.275,300,12/12/17 9:53
24,52.45,52.45,52.225,52.25,900,12/12/17 9:54
26,52.35,52.403,52.35,52.403,1805,12/12/17 9:56
27,52.25,52.25,52.15,52.2,800,12/12/17 9:57
28,52.2,52.2,52.2,52.2,200,12/12/17 9:58
30,52.275,52.3,52.25,52.25,500,12/12/17 10:00
31,52.3,52.3,52.25,52.25,300,12/12/17 10:01
32,52.3,52.3,52.3,52.3,600,12/12/17 10:02
33,52.5,52.5,52.4,52.4,1300,12/12/17 10:03
34,52.45,52.5,52.4,52.5,2000,12/12/17 10:04
36,52.55,52.55,52.45,52.45,681,12/12/17 10:06
37,52.65,52.65,52.65,52.65,100,12/12/17 10:07
39,52.7,52.7,52.5,52.5,900,12/12/17 10:09
40,52.65,52.65,52.6478,52.6478,400,12/12/17 10:10
41,52.65,52.65,52.55,52.55,1200,12/12/17 10:11
42,52.5816,52.5816,52.5816,52.5816,700,12/12/17 10:12
43,52.6,52.6,52.6,52.6,100,12/12/17 10:13
44,52.65,52.65,52.65,52.65,300,12/12/17 10:14
46,52.7,52.7,52.7,52.7,102,12/12/17 10:16
47,52.75,52.75,52.725,52.725,2176,12/12/17 10:17
48,52.7,52.725,52.65,52.7,2100,12/12/17 10:18
49,52.7,52.7,52.7,52.7,500,12/12/17 10:19
50,52.65,52.725,52.65,52.65,1100,12/12/17 10:20
57,52.5,52.6,52.5,52.6,2700,12/12/17 10:27
58,52.45,52.45,52.45,52.45,200,12/12/17 10:28
